"ROI_left","ROI_right","Q.Mode","Signal,Position..ppm.","Width","Q.Signal","Multiplicity","J.coupling..Hz.","Roof.effect","Shift.tolerance","Intensity","p_value","NA"
-0.023,-0.066,"Baseline Fitting","11_5",-0.00300000000000011,1,1,1,0,0,0.001,0,0.433
-0.023,-0.066,"Baseline Fitting","11_6",-0.0860000000000003,1,1,1,0,0,0.001,0,0.548
-0.019,0.024,"Baseline Fitting","11_4",0.000999999999999446,1,1,1,0,0,0.001,0,0.407
-0.019,0.024,"Baseline Fitting","11_3",0.00399999999999956,1,1,1,0,0,0.001,0,0.308
0.064,0.141,"Baseline Fitting","11_2",0.0839999999999996,1,1,1,0,0,0.001,0,0.394
0.064,0.141,"Baseline Fitting","84_1",0.121,1,1,1,0,0,0.001,0,0.693
0.148,0.188,"Baseline Fitting","83_1",0.167999999999999,1,1,1,0,0,0.001,0,0.951
0.851,0.891,"Baseline Fitting","82_1",0.871,1,1,1,0,0,0.001,0,0
0.956,1.021,"Baseline Fitting","81_1",0.975999999999999,1,1,1,0,0,0.001,0,0.003
0.956,1.021,"Baseline Fitting","20_2",1.001,1,1,1,0,0,0.001,0,0.082
1.022,1.133,"Baseline Fitting","80_1",1.042,1,1,1,0,0,0.001,0,0.076
1.022,1.133,"Baseline Fitting","20_1",1.052,1,1,1,0,0,0.001,0,0.97
1.022,1.133,"Baseline Fitting","79_1",1.081,1,1,1,0,0,0.001,0,0.042
1.022,1.133,"Baseline Fitting","19_2",1.103,1,1,1,0,0,0.001,0,0
1.022,1.133,"Baseline Fitting","19_1",1.113,1,1,1,0,0,0.001,0,0
1.208,1.293,"Baseline Fitting","18_2",1.228,1,1,1,0,0,0.001,0,0.554
1.208,1.293,"Baseline Fitting","18_1",1.238,1,1,1,0,0,0.001,0,0.529
1.208,1.293,"Baseline Fitting","78_1",1.248,1,1,1,0,0,0.001,0,0.693
1.208,1.293,"Baseline Fitting","17_2",1.273,1,1,1,0,0,0.001,0,0.01
1.31,1.381,"Baseline Fitting","25_4",1.33,1,1,1,0,0,0.001,0,0.066
1.31,1.381,"Baseline Fitting","25_3",1.34,1,1,1,0,0,0.001,0,0.04
1.31,1.381,"Baseline Fitting","77_1",1.361,1,1,1,0,0,0.001,0,0.498
1.415,1.455,"Baseline Fitting","76_1",1.435,1,1,1,0,0,0.001,0,0.003
1.46,1.511,"Baseline Fitting","25_2",1.48,1,1,1,0,0,0.001,0,0.01
1.46,1.511,"Baseline Fitting","25_1",1.491,1,1,1,0,0,0.001,0,0.006
1.6,1.663,"Baseline Fitting","75_1",1.62,1,1,1,0,0,0.001,0,0.089
1.6,1.663,"Baseline Fitting","74_1",1.643,1,1,1,0,0,0.001,0,0.15
1.705,1.745,"Baseline Fitting","73_1",1.725,1,1,1,0,0,0.001,0,0.41
1.818,1.858,"Baseline Fitting","72_1",1.838,1,1,1,0,0,0.001,0,0.09
1.904,1.944,"Baseline Fitting","71_1",1.924,1,1,1,0,0,0.001,0,0.2
1.968,2.083,"Baseline Fitting","70_1",1.988,1,1,1,0,0,0.001,0,0
1.968,2.083,"Baseline Fitting","69_1",2.025,1,1,1,0,0,0.001,0,0.739
1.968,2.083,"Baseline Fitting","68_1",2.045,1,1,1,0,0,0.001,0,0.276
1.968,2.083,"Baseline Fitting","67_1",2.063,1,1,1,0,0,0.001,0,0.269
2.089,2.129,"Baseline Fitting","21_10",2.109,1,1,1,0,0,0.001,0,0.001
2.218,2.322,"Baseline Fitting","66_1",2.238,1,1,1,0,0,0.001,0,0.175
2.218,2.322,"Baseline Fitting","21_9",2.257,1,1,1,0,0,0.001,0,0.001
2.218,2.322,"Baseline Fitting","21_8",2.27,1,1,1,0,0,0.001,0,0.004
2.218,2.322,"Baseline Fitting","21_7",2.278,1,1,1,0,0,0.001,0,0.001
2.218,2.322,"Baseline Fitting","65_1",2.302,1,1,1,0,0,0.001,0,0.203
2.328,2.389,"Baseline Fitting","22_6",2.348,1,1,1,0,0,0.001,0,0.02
2.328,2.389,"Baseline Fitting","17_1",2.369,1,1,1,0,0,0.001,0,0.053
2.436,2.487,"Baseline Fitting","24_3",2.456,1,1,1,0,0,0.001,0,0.985
2.436,2.487,"Baseline Fitting","24_2",2.467,1,1,1,0,0,0.001,0,0.723
2.512,2.575,"Baseline Fitting","16_4",2.532,1,1,1,0,0,0.001,0,0.002
2.512,2.575,"Baseline Fitting","16_3",2.555,1,1,1,0,0,0.001,0,0.031
2.59,2.63,"Baseline Fitting","64_1",2.61,1,1,1,0,0,0.001,0,0.115
2.659,2.748,"Baseline Fitting","16_2",2.679,1,1,1,0,0,0.001,0,0.003
2.659,2.748,"Baseline Fitting","16_1",2.702,1,1,1,0,0,0.001,0,0.006
2.659,2.748,"Baseline Fitting","63_1",2.728,1,1,1,0,0,0.001,0,0.24
2.762,2.855,"Baseline Fitting","15_2",2.782,1,1,1,0,0,0.001,0,0.177
2.762,2.855,"Baseline Fitting","15_1",2.809,1,1,1,0,0,0.001,0,0.056
2.762,2.855,"Baseline Fitting","62_1",2.835,1,1,1,0,0,0.001,0,0.075
2.858,2.965,"Baseline Fitting","61_1",2.878,1,1,1,0,0,0.001,0,0.925
2.858,2.965,"Baseline Fitting","60_1",2.907,1,1,1,0,0,0.001,0,0.532
2.858,2.965,"Baseline Fitting","59_1",2.933,1,1,1,0,0,0.001,0,0.001
2.858,2.965,"Baseline Fitting","14_2",2.945,1,1,1,0,0,0.001,0,0.09
3.001,3.068,"Baseline Fitting","58_1",3.021,1,1,1,0,0,0.001,0,0.433
3.001,3.068,"Baseline Fitting","14_1",3.048,1,1,1,0,0,0.001,0,0.011
3.102,3.142,"Baseline Fitting","57_1",3.122,1,1,1,0,0,0.001,0,0.344
3.178,3.25,"Baseline Fitting","56_1",3.198,1,1,1,0,0,0.001,0,0.026
3.178,3.25,"Baseline Fitting","55_1",3.23,1,1,1,0,0,0.001,0,0.41
3.25,3.29,"Baseline Fitting","54_1",3.27,1,1,1,0,0,0.001,0,0.925
3.337,3.377,"Baseline Fitting","53_1",3.357,1,1,1,0,0,0.001,0,0
3.413,3.453,"Baseline Fitting","52_1",3.433,1,1,1,0,0,0.001,0,0.221
3.499,3.539,"Baseline Fitting","51_1",3.519,1,1,1,0,0,0.001,0,0.126
3.547,3.587,"Baseline Fitting","24_1",3.567,1,1,1,0,0,0.001,0,0.752
3.639,3.712,"Baseline Fitting","50_1",3.659,1,1,1,0,0,0.001,0,0.203
3.639,3.712,"Baseline Fitting","23_4",3.692,1,1,1,0,0,0.001,0,0
3.714,3.754,"Baseline Fitting","49_1",3.734,1,1,1,0,0,0.001,0,0.09
3.76,3.836,"Baseline Fitting","23_3",3.78,1,1,1,0,0,0.001,0,0.369
3.76,3.836,"Baseline Fitting","23_2",3.804,1,1,1,0,0,0.001,0,0
3.76,3.836,"Baseline Fitting","23_1",3.816,1,1,1,0,0,0.001,0,0
3.93,3.998,"Baseline Fitting","48_1",3.95,1,1,1,0,0,0.001,0,0.872
3.93,3.998,"Baseline Fitting","4_10",3.971,1,1,1,0,0,0.001,0,0.007
3.93,3.998,"Baseline Fitting","4_9",3.978,1,1,1,0,0,0.001,0,0.125
4.02,4.08,"Baseline Fitting","47_1",4.04,1,1,1,0,0,0.001,0,0.693
4.02,4.08,"Baseline Fitting","46_1",4.06,1,1,1,0,0,0.001,0,0
4.137,4.177,"Baseline Fitting","45_1",4.157,1,1,1,0,0,0.001,0,0.558
4.278,4.326,"Baseline Fitting","44_1",4.298,1,1,1,0,0,0.001,0,0.317
4.278,4.326,"Baseline Fitting","43_1",4.306,1,1,1,0,0,0.001,0,0.221
4.383,4.463,"Baseline Fitting","42_1",4.403,1,1,1,0,0,0.001,0,0
4.383,4.463,"Baseline Fitting","41_1",4.417,1,1,1,0,0,0.001,0,0.212
4.383,4.463,"Baseline Fitting","1_5",4.443,1,1,1,0,0,0.001,0,0
4.499,4.612,"Baseline Fitting","13_2",4.519,1,1,1,0,0,0.001,0,0.497
4.499,4.612,"Baseline Fitting","13_1",4.53,1,1,1,0,0,0.001,0,0.167
4.499,4.612,"Baseline Fitting","40_1",4.557,1,1,1,0,0,0.001,0,0.488
4.499,4.612,"Baseline Fitting","39_1",4.592,1,1,1,0,0,0.001,0,0
4.666,4.714,"Baseline Fitting","12_2",4.686,1,1,1,0,0,0.001,0,0.951
4.666,4.714,"Baseline Fitting","12_1",4.694,1,1,1,0,0,0.001,0,0.472
4.746,4.79,"Baseline Fitting","11_1",4.766,1,1,1,0,0,0.001,0,0.843
4.746,4.79,"Baseline Fitting","38_1",4.77,1,1,1,0,0,0.001,0,0.875
5.05,5.119,"Baseline Fitting","10_2",5.07,1,1,1,0,0,0.001,0,0.627
5.05,5.119,"Baseline Fitting","10_1",5.081,1,1,1,0,0,0.001,0,0.333
5.05,5.119,"Baseline Fitting","37_1",5.099,1,1,1,0,0,0.001,0,0.487
5.711,5.751,"Baseline Fitting","9_5",5.731,1,1,1,0,0,0.001,0,0.12
5.757,5.797,"Baseline Fitting","9_4",5.777,1,1,1,0,0,0.001,0,0.13
5.831,5.88,"Baseline Fitting","9_3",5.851,1,1,1,0,0,0.001,0,0.076
5.831,5.88,"Baseline Fitting","9_2",5.86,1,1,1,0,0,0.001,0,0.123
5.906,5.946,"Baseline Fitting","9_1",5.926,1,1,1,0,0,0.001,0,0.435
6.573,6.613,"Baseline Fitting","36_1",6.593,1,1,1,0,0,0.001,0,0
6.646,6.699,"Baseline Fitting","2_2",6.666,1,1,1,0,0,0.001,0,0
6.646,6.699,"Baseline Fitting","35_1",6.679,1,1,1,0,0,0.001,0,0.001
6.838,6.93,"Baseline Fitting","34_1",6.858,1,1,1,0,0,0.001,0,0.028
6.838,6.93,"Baseline Fitting","33_1",6.874,1,1,1,0,0,0.001,0,0.858
6.838,6.93,"Baseline Fitting","8_2",6.898,1,1,1,0,0,0.001,0,0.107
6.838,6.93,"Baseline Fitting","8_1",6.91,1,1,1,0,0,0.001,0,0.433
7.146,7.242,"Baseline Fitting","32_1",7.166,1,1,1,0,0,0.001,0,0.136
7.146,7.242,"Baseline Fitting","22_5",7.205,1,1,1,0,0,0.001,0,0.054
7.146,7.242,"Baseline Fitting","22_4",7.218,1,1,1,0,0,0.001,0,0.018
7.146,7.242,"Baseline Fitting","22_3",7.222,1,1,1,0,0,0.001,0,0.175
7.258,7.397,"Baseline Fitting","22_2",7.278,1,1,1,0,0,0.001,0,0.004
7.258,7.397,"Baseline Fitting","22_1",7.29,1,1,1,0,0,0.001,0,0.004
7.258,7.397,"Baseline Fitting","7_2",7.328,1,1,1,0,0,0.001,0,0.125
7.258,7.397,"Baseline Fitting","7_1",7.34,1,1,1,0,0,0.001,0,0.031
7.258,7.397,"Baseline Fitting","21_6",7.354,1,1,1,0,0,0.001,0,0.001
7.258,7.397,"Baseline Fitting","21_5",7.366,1,1,1,0,0,0.001,0,0
7.258,7.397,"Baseline Fitting","21_4",7.377,1,1,1,0,0,0.001,0,0.056
7.398,7.459,"Baseline Fitting","21_3",7.418,1,1,1,0,0,0.001,0,0.014
7.398,7.459,"Baseline Fitting","21_2",7.428,1,1,1,0,0,0.001,0,0.004
7.398,7.459,"Baseline Fitting","21_1",7.439,1,1,1,0,0,0.001,0,0
7.482,7.587,"Baseline Fitting","6_2",7.502,1,1,1,0,0,0.001,0,0
7.482,7.587,"Baseline Fitting","6_1",7.514,1,1,1,0,0,0.001,0,0.001
7.482,7.587,"Baseline Fitting","4_8",7.545,1,1,1,0,0,0.001,0,0.004
7.482,7.587,"Baseline Fitting","4_7",7.556,1,1,1,0,0,0.001,0,0.002
7.482,7.587,"Baseline Fitting","4_6",7.567,1,1,1,0,0,0.001,0,0.002
7.612,7.792,"Baseline Fitting","4_5",7.632,1,1,1,0,0,0.001,0,0.002
7.612,7.792,"Baseline Fitting","4_4",7.642,1,1,1,0,0,0.001,0,0.001
7.612,7.792,"Baseline Fitting","4_3",7.653,1,1,1,0,0,0.001,0,0.002
7.612,7.792,"Baseline Fitting","31_1",7.678,1,1,1,0,0,0.001,0,0.532
7.612,7.792,"Baseline Fitting","30_1",7.704,1,1,1,0,0,0.001,0,0.269
7.612,7.792,"Baseline Fitting","29_1",7.715,1,1,1,0,0,0.001,0,0.44
7.612,7.792,"Baseline Fitting","28_1",7.743,1,1,1,0,0,0.001,0,0.894
7.612,7.792,"Baseline Fitting","5_2",7.76,1,1,1,0,0,0.001,0,0.19
7.612,7.792,"Baseline Fitting","5_1",7.772,1,1,1,0,0,0.001,0,0.203
7.814,7.864,"Baseline Fitting","4_2",7.834,1,1,1,0,0,0.001,0,0.002
7.814,7.864,"Baseline Fitting","4_1",7.844,1,1,1,0,0,0.001,0,0.002
8.068,8.108,"Baseline Fitting","27_1",8.088,1,1,1,0,0,0.001,0,0.493
8.174,8.236,"Baseline Fitting","3_2",8.194,1,1,1,0,0,0.001,0,0.498
8.174,8.236,"Baseline Fitting","3_1",8.216,1,1,1,0,0,0.001,0,0.925
8.314,8.354,"Baseline Fitting","2_1",8.334,1,1,1,0,0,0.001,0,0
8.442,8.482,"Baseline Fitting","26_1",8.462,1,1,1,0,0,0.001,0,0.442
8.81,8.874,"Baseline Fitting","1_4",8.83,1,1,1,0,0,0.001,0,0.001
8.81,8.874,"Baseline Fitting","1_3",8.84,1,1,1,0,0,0.001,0,0
8.81,8.874,"Baseline Fitting","1_2",8.854,1,1,1,0,0,0.001,0,0
9.107,9.147,"Baseline Fitting","1_1",9.127,1,1,1,0,0,0.001,0,0
